B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 3
B07, Trade, 186.433, 124, B07, S02, 1
B07, Trade, 246.533, 114, S02, B07, 1
B07, Trade, 256.733, 124, B07, S02, 1
B08, 0
B09, 0
B10, 1
B10, Trade, 297.000, 129, B10, S01, 1
B11, 1
B11, Trade, 65.967, 123, B11, S02, 1
B12, 1
B12, Trade, 163.300, 121, B12, S01, 1
B13, 1
B13, Trade, 66.100, 136, S04, B13, 1
B14, 0
B15, 3
B15, Trade, 217.017, 151, B15, S09, 1
B15, Trade, 226.600, 149, B15, S02, 1
B15, Trade, 291.650, 133, S01, B15, 1
B16, 5
B16, Trade, 119.700, 154, B16, S06, 1
B16, Trade, 132.067, 153, B16, S01, 1
B16, Trade, 171.617, 135, B16, S01, 1
B16, Trade, 237.067, 136, B16, S02, 1
B16, Trade, 276.617, 154, B16, S02, 1
B17, 3
B17, Trade, 54.233, 157, B17, S04, 1
B17, Trade, 209.683, 149, B17, S01, 1
B17, Trade, 257.333, 124, S01, B17, 1
B18, 9
B18, Trade, 5.500, 142, B18, S01, 1
B18, Trade, 43.267, 145, S13, B18, 1
B18, Trade, 56.017, 136, S01, B18, 1
B18, Trade, 94.317, 162, B18, S15, 1
B18, Trade, 190.283, 161, B18, S14, 1
B18, Trade, 213.467, 160, B18, S02, 1
B18, Trade, 226.300, 155, B18, S01, 1
B18, Trade, 238.833, 139, B18, S00, 1
B18, Trade, 261.733, 137, S01, B18, 1
B19, 9
B19, Trade, 11.800, 163, B19, S09, 1
B19, Trade, 46.317, 156, B19, S00, 1
B19, Trade, 81.167, 140, B19, S02, 1
B19, Trade, 165.817, 164, B19, S05, 1
B19, Trade, 181.400, 142, B19, S04, 1
B19, Trade, 233.533, 161, B19, S02, 1
B19, Trade, 239.167, 164, B19, S01, 1
B19, Trade, 281.733, 157, B19, S15, 1
B19, Trade, 289.283, 161, B19, S00, 1
B20, 10
B20, Trade, 6.550, 152, B20, S05, 1
B20, Trade, 18.017, 163, B20, S02, 1
B20, Trade, 22.733, 164, B20, S01, 1
B20, Trade, 57.517, 164, B20, S02, 1
B20, Trade, 61.367, 158, B20, S13, 1
B20, Trade, 88.967, 154, B20, S04, 1
B20, Trade, 95.867, 115, S02, B20, 1
B20, Trade, 161.933, 132, B20, S04, 1
B20, Trade, 200.217, 167, B20, S01, 1
B20, Trade, 268.633, 167, B20, S02, 1
B21, 31
B21, Trade, 12.250, 159, B21, S04, 1
B21, Trade, 16.100, 167, B21, S11, 1
B21, Trade, 22.500, 167, B21, S18, 1
B21, Trade, 49.417, 163, B21, S11, 1
B21, Trade, 62.900, 160, B21, S04, 1
B21, Trade, 72.083, 167, B21, S13, 1
B21, Trade, 77.783, 162, B21, S04, 1
B21, Trade, 88.117, 161, B21, S14, 1
B21, Trade, 93.567, 167, B21, S17, 1
B21, Trade, 108.983, 164, B21, S04, 1
B21, Trade, 119.167, 158, B21, S13, 1
B21, Trade, 122.617, 159, B21, S02, 1
B21, Trade, 137.117, 155, B21, S04, 1
B21, Trade, 143.183, 148, B21, S13, 1
B21, Trade, 157.700, 167, B21, S13, 1
B21, Trade, 180.567, 163, B21, S01, 1
B21, Trade, 184.600, 163, B21, S11, 1
B21, Trade, 189.650, 167, B21, S08, 1
B21, Trade, 191.733, 167, B21, S04, 1
B21, Trade, 204.333, 144, B21, S02, 1
B21, Trade, 208.883, 167, B21, S07, 1
B21, Trade, 212.617, 164, B21, S13, 1
B21, Trade, 217.167, 148, B21, S01, 1
B21, Trade, 233.133, 165, B21, S13, 1
B21, Trade, 236.683, 167, B21, S08, 1
B21, Trade, 250.267, 167, B21, S15, 1
B21, Trade, 252.483, 148, B21, S02, 1
B21, Trade, 269.300, 155, B21, S09, 1
B21, Trade, 284.933, 167, B21, S13, 1
B21, Trade, 288.383, 156, B21, S04, 1
B21, Trade, 298.183, 151, B21, S04, 1
B22, 42
B22, Trade, 9.333, 171, B22, S11, 1
B22, Trade, 41.683, 171, S05, B22, 1
B22, Trade, 46.650, 163, B22, S01, 1
B22, Trade, 52.600, 159, B22, S14, 1
B22, Trade, 63.633, 167, S06, B22, 1
B22, Trade, 65.400, 147, S13, B22, 1
B22, Trade, 76.850, 170, B22, S01, 1
B22, Trade, 80.533, 155, S13, B22, 1
B22, Trade, 86.333, 167, B22, S02, 1
B22, Trade, 93.200, 172, B22, S00, 1
B22, Trade, 98.267, 166, S18, B22, 1
B22, Trade, 101.400, 155, S08, B22, 1
B22, Trade, 106.283, 137, S01, B22, 1
B22, Trade, 112.383, 172, B22, S13, 1
B22, Trade, 119.883, 123, B22, S01, 1
B22, Trade, 122.317, 170, S08, B22, 1
B22, Trade, 126.950, 175, B22, S05, 1
B22, Trade, 134.283, 167, S14, B22, 1
B22, Trade, 141.400, 172, B22, S02, 1
B22, Trade, 146.917, 172, B22, S04, 1
B22, Trade, 151.683, 161, B22, S01, 1
B22, Trade, 158.483, 174, B22, S15, 1
B22, Trade, 161.317, 164, S07, B22, 1
B22, Trade, 166.733, 172, B22, S01, 1
B22, Trade, 171.917, 163, S13, B22, 1
