B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 4
B14, Trade, 26.500, 141, B14, S05, 1
B14, Trade, 56.250, 144, B14, S06, 1
B14, Trade, 134.500, 148, B14, S05, 1
B14, Trade, 246.283, 133, B14, S05, 1
B15, 0
B16, 17
B16, Trade, 11.283, 150, B16, S06, 1
B16, Trade, 17.417, 150, B16, S09, 1
B16, Trade, 33.883, 150, B16, S09, 1
B16, Trade, 37.267, 150, B16, S09, 1
B16, Trade, 52.583, 148, B16, S00, 1
B16, Trade, 99.600, 150, B16, S09, 1
B16, Trade, 115.267, 146, B16, S05, 1
B16, Trade, 137.883, 150, B16, S03, 1
B16, Trade, 144.950, 150, B16, S09, 1
B16, Trade, 147.517, 146, B16, S09, 1
B16, Trade, 195.967, 150, B16, S08, 1
B16, Trade, 243.750, 150, B16, S00, 1
B16, Trade, 255.450, 146, B16, S04, 1
B16, Trade, 257.350, 150, B16, S00, 1
B16, Trade, 266.117, 146, B16, S05, 1
B16, Trade, 285.567, 150, B16, S05, 1
B16, Trade, 288.717, 146, B16, S03, 1
B17, 4
B17, Trade, 12.117, 149, B17, S03, 1
B17, Trade, 91.850, 140, B17, S09, 1
B17, Trade, 182.333, 146, B17, S06, 1
B17, Trade, 232.483, 156, B17, S05, 1
B18, 10
B18, Trade, 5.250, 155, B18, S03, 1
B18, Trade, 23.983, 160, B18, S00, 1
B18, Trade, 46.617, 150, B18, S00, 1
B18, Trade, 52.500, 160, B18, S09, 1
B18, Trade, 133.500, 156, B18, S03, 1
B18, Trade, 187.767, 149, B18, S10, 1
B18, Trade, 201.633, 160, B18, S00, 1
B18, Trade, 252.700, 153, S01, B18, 1
B18, Trade, 258.317, 148, S09, B18, 1
B18, Trade, 278.767, 162, B18, S03, 1
B19, 3
B19, Trade, 69.933, 152, B19, S00, 1
B19, Trade, 85.850, 155, B19, S10, 1
B19, Trade, 105.450, 138, S05, B19, 1
B20, 16
B20, Trade, 38.800, 156, S06, B20, 1
B20, Trade, 54.700, 161, B20, S08, 1
B20, Trade, 78.167, 168, B20, S05, 1
B20, Trade, 88.900, 149, B20, S03, 1
B20, Trade, 95.683, 157, S05, B20, 1
B20, Trade, 157.883, 156, B20, S05, 1
B20, Trade, 162.450, 167, B20, S05, 1
B20, Trade, 182.950, 150, S05, B20, 1
B20, Trade, 198.683, 161, B20, S09, 1
B20, Trade, 216.967, 159, B20, S13, 1
B20, Trade, 229.733, 143, B20, S09, 1
B20, Trade, 266.817, 153, S13, B20, 1
B20, Trade, 274.967, 160, B20, S09, 1
B20, Trade, 277.483, 166, S18, B20, 1
B20, Trade, 281.833, 158, B20, S03, 1
B20, Trade, 292.300, 167, B20, S09, 1
B21, 47
B21, Trade, 7.300, 165, B21, S00, 1
B21, Trade, 12.667, 149, B21, S09, 1
B21, Trade, 17.317, 158, B21, S15, 1
B21, Trade, 22.967, 171, B21, S05, 1
B21, Trade, 32.500, 157, B21, S15, 1
B21, Trade, 36.317, 170, B21, S05, 1
B21, Trade, 42.017, 171, B21, S09, 1
B21, Trade, 47.883, 150, B21, S06, 1
B21, Trade, 54.083, 157, B21, S06, 1
B21, Trade, 58.733, 157, B21, S00, 1
B21, Trade, 65.000, 171, B21, S06, 1
B21, Trade, 77.817, 171, B21, S00, 1
B21, Trade, 84.700, 163, B21, S06, 1
B21, Trade, 90.133, 158, B21, S05, 1
B21, Trade, 99.183, 171, B21, S13, 1
B21, Trade, 110.217, 162, B21, S06, 1
B21, Trade, 111.650, 169, B21, S20, 1
B21, Trade, 118.283, 156, B21, S05, 1
B21, Trade, 126.350, 124, B21, S03, 1
B21, Trade, 137.300, 171, B21, S05, 1
B21, Trade, 144.483, 162, B21, S05, 1
B21, Trade, 146.633, 171, B21, S15, 1
B21, Trade, 151.950, 171, B21, S03, 1
B21, Trade, 157.317, 171, B21, S17, 1
B21, Trade, 168.200, 164, B21, S03, 1
B21, Trade, 173.033, 148, B21, S05, 1
B21, Trade, 178.967, 171, B21, S10, 1
B21, Trade, 184.533, 152, B21, S07, 1
B21, Trade, 187.450, 156, B21, S09, 1
B21, Trade, 194.750, 157, B21, S06, 1
B21, Trade, 197.083, 162, B21, S07, 1
B21, Trade, 203.117, 171, B21, S05, 1
B21, Trade, 208.050, 145, B21, S00, 1
B21, Trade, 216.883, 159, B21, S03, 1
B21, Trade, 222.983, 171, B21, S05, 1
B21, Trade, 232.417, 171, B21, S06, 1
B21, Trade, 238.217, 170, B21, S00, 1
B21, Trade, 244.817, 150, B21, S03, 1
B21, Trade, 247.150, 171, B21, S09, 1
B21, Trade, 255.250, 150, B21, S10, 1
B21, Trade, 256.817, 160, B21, S05, 1
B21, Trade, 265.750, 154, B21, S03, 1
B21, Trade, 268.083, 171, B21, S05, 1
B21, Trade, 273.317, 160, B21, S10, 1
B21, Trade, 280.183, 162, B21, S05, 1
B21, Trade, 283.983, 160, B21, S06, 1
B21, Trade, 287.100, 171, B21, S09, 1
B22, 30
B22, Trade, 16.217, 169, B22, S03, 1
B22, Trade, 20.350, 158, B22, S06, 1
B22, Trade, 30.350, 143, S10, B22, 1
B22, Trade, 36.583, 170, B22, S04, 1
B22, Trade, 47.850, 152, B22, S10, 1
B22, Trade, 54.917, 143, S07, B22, 1
