B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 0
B15, 1
B15, Trade, 147.333, 125, B15, S01, 1
B16, 3
B16, Trade, 55.850, 139, S02, B16, 1
B16, Trade, 202.517, 149, B16, S06, 1
B16, Trade, 221.217, 136, S01, B16, 1
B17, 20
B17, Trade, 8.367, 158, B17, S03, 1
B17, Trade, 30.400, 116, S03, B17, 1
B17, Trade, 35.250, 140, S01, B17, 1
B17, Trade, 52.833, 156, B17, S10, 1
B17, Trade, 57.167, 155, B17, S00, 1
B17, Trade, 71.667, 152, B17, S11, 1
B17, Trade, 87.017, 149, B17, S07, 1
B17, Trade, 92.833, 157, B17, S12, 1
B17, Trade, 106.233, 154, B17, S01, 1
B17, Trade, 114.517, 156, B17, S02, 1
B17, Trade, 123.400, 158, B17, S01, 1
B17, Trade, 146.633, 158, B17, S08, 1
B17, Trade, 151.000, 155, B17, S11, 1
B17, Trade, 164.200, 158, B17, S01, 1
B17, Trade, 186.400, 156, B17, S11, 1
B17, Trade, 196.150, 133, S02, B17, 1
B17, Trade, 211.717, 150, B17, S02, 1
B17, Trade, 231.367, 158, B17, S11, 1
B17, Trade, 275.233, 150, B17, S03, 1
B17, Trade, 296.700, 141, S11, B17, 1
B18, 15
B18, Trade, 53.667, 148, S11, B18, 1
B18, Trade, 59.700, 151, S08, B18, 1
B18, Trade, 68.350, 158, B18, S07, 1
B18, Trade, 121.367, 141, S11, B18, 1
B18, Trade, 148.933, 143, S02, B18, 1
B18, Trade, 205.900, 158, B18, S03, 1
B18, Trade, 206.717, 133, B18, S01, 1
B18, Trade, 211.200, 138, B18, S01, 1
B18, Trade, 216.150, 157, S11, B18, 1
B18, Trade, 235.883, 148, B18, S00, 1
B18, Trade, 257.800, 157, B18, S03, 1
B18, Trade, 276.117, 140, S02, B18, 1
B18, Trade, 282.400, 133, S01, B18, 1
B18, Trade, 295.800, 159, B18, S12, 1
B18, Trade, 298.650, 145, B18, S02, 1
B19, 2
B19, Trade, 57.567, 159, B19, S10, 1
B19, Trade, 201.283, 129, S01, B19, 1
B20, 41
B20, Trade, 6.333, 158, B20, S11, 1
B20, Trade, 12.333, 168, B20, S00, 1
B20, Trade, 15.367, 168, B20, S11, 1
B20, Trade, 22.617, 153, B20, S01, 1
B20, Trade, 28.450, 160, S11, B20, 1
B20, Trade, 46.683, 168, B20, S01, 1
B20, Trade, 51.500, 161, B20, S08, 1
B20, Trade, 55.450, 138, S07, B20, 1
B20, Trade, 61.317, 165, B20, S01, 1
B20, Trade, 68.150, 159, B20, S11, 1
B20, Trade, 74.550, 166, B20, S01, 1
B20, Trade, 81.983, 167, B20, S12, 1
B20, Trade, 86.650, 150, B20, S03, 1
B20, Trade, 99.067, 161, B20, S01, 1
B20, Trade, 101.233, 155, S11, B20, 1
B20, Trade, 112.283, 166, B20, S03, 1
B20, Trade, 119.450, 165, B20, S03, 1
B20, Trade, 131.383, 161, S07, B20, 1
B20, Trade, 136.767, 166, B20, S02, 1
B20, Trade, 147.233, 168, B20, S00, 1
B20, Trade, 156.667, 166, B20, S11, 1
B20, Trade, 166.267, 166, B20, S10, 1
B20, Trade, 172.083, 166, B20, S01, 1
B20, Trade, 185.433, 167, B20, S01, 1
B20, Trade, 192.183, 164, B20, S01, 1
B20, Trade, 210.333, 167, B20, S05, 1
B20, Trade, 216.617, 167, B20, S06, 1
B20, Trade, 222.217, 153, B20, S03, 1
B20, Trade, 229.533, 161, S01, B20, 1
B20, Trade, 235.450, 167, B20, S07, 1
B20, Trade, 239.567, 168, B20, S02, 1
B20, Trade, 245.133, 163, B20, S01, 1
B20, Trade, 249.217, 164, B20, S02, 1
B20, Trade, 252.633, 166, B20, S02, 1
B20, Trade, 263.250, 164, B20, S11, 1
B20, Trade, 270.117, 162, B20, S01, 1
B20, Trade, 274.683, 157, B20, S07, 1
B20, Trade, 278.033, 164, B20, S11, 1
B20, Trade, 281.633, 140, S06, B20, 1
B20, Trade, 291.250, 162, S12, B20, 1
B20, Trade, 296.017, 156, B20, S10, 1
B21, 11
B21, Trade, 77.700, 165, B21, S00, 1
B21, Trade, 87.133, 145, S08, B21, 1
B21, Trade, 107.167, 157, S11, B21, 1
B21, Trade, 139.617, 167, B21, S07, 1
B21, Trade, 161.217, 167, B21, S11, 1
B21, Trade, 204.917, 164, B21, S17, 1
B21, Trade, 232.300, 172, B21, S03, 1
B21, Trade, 238.083, 162, B21, S11, 1
B21, Trade, 253.283, 165, B21, S07, 1
B21, Trade, 256.350, 164, B21, S02, 1
B21, Trade, 265.967, 169, B21, S06, 1
B22, 37
B22, Trade, 6.733, 157, B22, S01, 1
B22, Trade, 19.800, 173, B22, S02, 1
B22, Trade, 22.833, 152, B22, S11, 1
B22, Trade, 26.333, 150, B22, S06, 1
B22, Trade, 31.600, 173, B22, S01, 1
B22, Trade, 48.150, 173, B22, S06, 1
B22, Trade, 51.567, 160, B22, S01, 1
B22, Trade, 57.583, 151, B22, S01, 1
B22, Trade, 66.117, 172, B22, S06, 1
B22, Trade, 74.167, 173, B22, S07, 1
B22, Trade, 90.500, 170, B22, S17, 1
B22, Trade, 98.500, 173, B22, S21, 1
B22, Trade, 107.100, 151, B22, S03, 1
B22, Trade, 112.517, 165, B22, S07, 1
B22, Trade, 129.017, 165, B22, S04, 1
B22, Trade, 135.617, 170, B22, S02, 1
B22, Trade, 146.717, 157, B22, S12, 1
B22, Trade, 156.700, 165, B22, S02, 1
B22, Trade, 163.200, 163, B22, S03, 1
B22, Trade, 166.400, 165, B22, S00, 1
B22, Trade, 173.100, 164, B22, S00, 1
B22, Trade, 187.000, 166, B22, S01, 1
B22, Trade, 197.900, 173, B22, S01, 1
B22, Trade, 203.033, 147, B22, S00, 1
B22, Trade, 215.450, 163, B22, S07, 1
B22, Trade, 217.117, 166, B22, S03, 1
B22, Trade, 225.383, 172, B22, S20, 1
B22, Trade, 233.900, 161, B22, S01, 1
B22, Trade, 238.200, 161, B22, S01, 1
B22, Trade, 244.967, 173, B22, S11, 1
B22, Trade, 248.217, 173, B22, S01, 1
B22, Trade, 260.650, 157, B22, S01, 1
B22, Trade, 267.217, 156, B22, S11, 1
B22, Trade, 272.633, 173, B22, S01, 1
B22, Trade, 277.883, 169, B22, S09, 1
B22, Trade, 290.883, 161, B22, S03, 1
B22, Trade, 294.317, 173, B22, S03, 1
B23, 20
B23, Trade, 10.967, 152, S11, B23, 1
B23, Trade, 27.333, 160, B23, S03, 1
B23, Trade, 34.167, 170, B23, S00, 1
B23, Trade, 40.767, 167, B23, S11, 1
B23, Trade, 46.433, 173, S21, B23, 1
B23, Trade, 61.117, 179, B23, S21, 1
B23, Trade, 74.917, 150, B23, S02, 1
B23, Trade, 90.533, 158, B23, S01, 1
B23, Trade, 135.467, 171, B23, S16, 1
B23, Trade, 160.650, 162, B23, S00, 1
B23, Trade, 174.717, 161, B23, S12, 1
B23, Trade, 192.533, 163, B23, S02, 1
B23, Trade, 207.133, 174, B23, S02, 1
B23, Trade, 218.750, 176, B23, S08, 1
B23, Trade, 222.850, 165, S17, B23, 1
B23, Trade, 233.283, 163, B23, S02, 1
B23, Trade, 258.450, 164, S11, B23, 1
B23, Trade, 272.217, 174, B23, S11, 1
B23, Trade, 277.433, 170, B23, S01, 1
B23, Trade, 296.733, 169, S17, B23, 1
B24, 37
B24, Trade, 13.517, 168, S19, B24, 1
B24, Trade, 16.800, 179, B24, S21, 1
B24, Trade, 25.900, 171, B24, S01, 1
B24, Trade, 32.467, 175, S11, B24, 1
B24, Trade, 60.233, 167, S05, B24, 1
B24, Trade, 62.267, 167, B24, S11, 1
B24, Trade, 77.500, 157, B24, S01, 1
B24, Trade, 81.600, 165, B24, S11, 1
B24, Trade, 86.150, 155, B24, S05, 1
B24, Trade, 90.917, 143, S11, B24, 1
B24, Trade, 101.100, 148, B24, S03, 1
B24, Trade, 112.783, 170, S01, B24, 1
B24, Trade, 116.200, 182, B24, S11, 1
B24, Trade, 122.717, 169, B24, S19, 1
B24, Trade, 126.767, 180, B24, S02, 1
B24, Trade, 133.350, 177, B24, S21, 1
B24, Trade, 150.783, 154, B24, S03, 1
B24, Trade, 164.817, 166, S13, B24, 1
B24, Trade, 169.833, 169, B24, S07, 1
B24, Trade, 176.983, 173, B24, S21, 1
B24, Trade, 181.367, 155, S06, B24, 1
B24, Trade, 187.067, 175, S22, B24, 1
B24, Trade, 196.367, 150, S11, B24, 1
B24, Trade, 201.450, 162, S11, B24, 1
B24, Trade, 206.283, 173, S07, B24, 1
B24, Trade, 216.867, 175, S17, B24, 1
B24, Trade, 225.033, 178, B24, S19, 1
B24, Trade, 226.367, 176, B24, S02, 1
B24, Trade, 233.850, 162, B24, S08, 1
B24, Trade, 236.850, 175, S21, B24, 1
B24, Trade, 242.200, 163, B24, S03, 1
B24, Trade, 251.150, 159, B24, S00, 1
B24, Trade, 255.517, 176, B24, S21, 1
B24, Trade, 260.467, 179, S13, B24, 1
B24, Trade, 263.417, 160, B24, S03, 1
B24, Trade, 272.900, 172, B24, S00, 1
B24, Trade, 286.467, 146, S11, B24, 1
B25, 42
B25, Trade, 5.900, 158, B25, S02, 1
B25, Trade, 12.517, 178, S21, B25, 1
B25, Trade, 16.617, 182, S19, B25, 1
B25, Trade, 22.783, 155, B25, S15, 1
B25, Trade, 41.833, 168, S03, B25, 1
