B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 1
B11, Trade, 271.517, 106, S01, B11, 1
B12, 1
B12, Trade, 36.983, 132, B12, S01, 1
B13, 0
B14, 7
B14, Trade, 12.683, 144, S01, B14, 1
B14, Trade, 119.600, 129, B14, S02, 1
B14, Trade, 142.600, 147, B14, S07, 1
B14, Trade, 218.183, 134, B14, S01, 1
B14, Trade, 266.767, 124, S02, B14, 1
B14, Trade, 287.100, 122, S01, B14, 1
B14, Trade, 298.017, 146, B14, S01, 1
B15, 1
B15, Trade, 287.900, 126, B15, S05, 1
B16, 0
B17, 11
B17, Trade, 8.483, 145, S11, B17, 1
B17, Trade, 24.033, 150, B17, S09, 1
B17, Trade, 29.150, 156, B17, S03, 1
B17, Trade, 30.550, 151, B17, S11, 1
B17, Trade, 53.150, 143, B17, S02, 1
B17, Trade, 69.133, 140, S11, B17, 1
B17, Trade, 108.233, 156, B17, S01, 1
B17, Trade, 131.783, 154, B17, S09, 1
B17, Trade, 155.400, 135, B17, S05, 1
B17, Trade, 161.750, 156, B17, S01, 1
B17, Trade, 204.717, 157, B17, S11, 1
B18, 15
B18, Trade, 36.567, 141, B18, S02, 1
B18, Trade, 48.783, 138, B18, S10, 1
B18, Trade, 81.583, 152, B18, S05, 1
B18, Trade, 114.117, 162, B18, S05, 1
B18, Trade, 122.250, 148, B18, S02, 1
B18, Trade, 125.983, 138, S03, B18, 1
B18, Trade, 141.350, 131, S05, B18, 1
B18, Trade, 177.117, 157, B18, S01, 1
B18, Trade, 209.083, 153, S11, B18, 1
B18, Trade, 211.483, 152, S12, B18, 1
B18, Trade, 224.517, 154, B18, S05, 1
B18, Trade, 256.633, 159, B18, S05, 1
B18, Trade, 261.433, 153, S11, B18, 1
B18, Trade, 268.000, 132, S09, B18, 1
B18, Trade, 282.583, 144, S05, B18, 1
B19, 3
B19, Trade, 33.367, 151, B19, S03, 1
B19, Trade, 247.133, 150, S02, B19, 1
B19, Trade, 285.817, 144, B19, S02, 1
B20, 13
B20, Trade, 31.633, 163, B20, S02, 1
B20, Trade, 43.583, 158, B20, S01, 1
B20, Trade, 69.017, 130, B20, S02, 1
B20, Trade, 93.917, 162, S04, B20, 1
B20, Trade, 97.933, 168, B20, S15, 1
B20, Trade, 102.683, 157, B20, S05, 1
B20, Trade, 145.233, 146, B20, S02, 1
B20, Trade, 152.317, 154, B20, S15, 1
B20, Trade, 195.900, 134, S03, B20, 1
B20, Trade, 218.600, 159, S11, B20, 1
B20, Trade, 252.233, 157, S13, B20, 1
B20, Trade, 286.633, 154, S00, B20, 1
B20, Trade, 298.567, 159, B20, S08, 1
B21, 36
B21, Trade, 5.083, 149, S10, B21, 1
B21, Trade, 10.750, 147, B21, S02, 1
B21, Trade, 22.833, 151, S15, B21, 1
B21, Trade, 29.250, 167, S05, B21, 1
B21, Trade, 38.567, 162, B21, S15, 1
B21, Trade, 42.817, 165, B21, S02, 1
B21, Trade, 45.483, 120, S01, B21, 1
B21, Trade, 52.067, 162, B21, S09, 1
B21, Trade, 56.217, 163, B21, S17, 1
B21, Trade, 68.700, 141, B21, S01, 1
B21, Trade, 71.617, 143, B21, S02, 1
B21, Trade, 83.117, 164, S15, B21, 1
B21, Trade, 89.800, 138, B21, S09, 1
B21, Trade, 92.150, 167, B21, S11, 1
B21, Trade, 96.367, 148, B21, S09, 1
B21, Trade, 103.733, 160, B21, S00, 1
B21, Trade, 107.733, 166, B21, S13, 1
B21, Trade, 114.450, 170, S17, B21, 1
B21, Trade, 115.867, 141, S10, B21, 1
B21, Trade, 122.217, 164, B21, S09, 1
B21, Trade, 137.850, 172, B21, S05, 1
B21, Trade, 150.267, 153, B21, S09, 1
B21, Trade, 158.117, 162, B21, S04, 1
B21, Trade, 161.183, 150, B21, S10, 1
B21, Trade, 169.783, 170, S12, B21, 1
B21, Trade, 194.300, 154, B21, S13, 1
B21, Trade, 197.600, 159, B21, S08, 1
B21, Trade, 208.617, 162, B21, S02, 1
B21, Trade, 219.000, 133, B21, S02, 1
B21, Trade, 225.600, 151, B21, S09, 1
B21, Trade, 232.967, 166, B21, S05, 1
B21, Trade, 239.267, 154, B21, S10, 1
B21, Trade, 242.417, 153, S10, B21, 1
B21, Trade, 249.383, 162, B21, S06, 1
B21, Trade, 251.833, 169, B21, S11, 1
B21, Trade, 295.933, 159, B21, S09, 1
B22, 7
B22, Trade, 70.833, 136, S05, B22, 1
B22, Trade, 79.300, 149, B22, S01, 1
B22, Trade, 91.517, 169, B22, S05, 1
B22, Trade, 121.483, 153, B22, S05, 1
B22, Trade, 186.317, 140, S02, B22, 1
B22, Trade, 254.517, 133, S04, B22, 1
B22, Trade, 258.583, 143, B22, S02, 1
B23, 12
B23, Trade, 13.717, 157, S06, B23, 1
B23, Trade, 22.050, 146, S08, B23, 1
B23, Trade, 32.617, 155, B23, S05, 1
B23, Trade, 86.133, 172, B23, S11, 1
B23, Trade, 113.800, 161, B23, S01, 1
B23, Trade, 116.033, 155, B23, S05, 1
B23, Trade, 153.133, 149, S10, B23, 1
B23, Trade, 167.850, 159, B23, S11, 1
B23, Trade, 174.683, 151, B23, S09, 1
B23, Trade, 194.750, 149, B23, S02, 1
B23, Trade, 274.217, 159, S06, B23, 1
B23, Trade, 282.500, 145, B23, S11, 1
B24, 9
B24, Trade, 18.600, 151, B24, S05, 1
B24, Trade, 30.617, 146, B24, S01, 1
B24, Trade, 59.117, 141, B24, S02, 1
B24, Trade, 67.817, 146, B24, S05, 1
B24, Trade, 88.883, 158, B24, S03, 1
B24, Trade, 144.683, 145, S09, B24, 1
B24, Trade, 212.717, 144, B24, S11, 1
B24, Trade, 236.983, 166, B24, S11, 1
B24, Trade, 274.067, 135, S00, B24, 1
B25, 14
B25, Trade, 7.117, 128, S02, B25, 1
B25, Trade, 37.467, 140, S08, B25, 1
B25, Trade, 42.600, 166, B25, S18, 1
B25, Trade, 56.767, 147, B25, S06, 1
B25, Trade, 60.450, 120, S05, B25, 1
B25, Trade, 117.033, 175, B25, S11, 1
B25, Trade, 121.400, 162, S06, B25, 1
B25, Trade, 167.133, 148, B25, S09, 1
B25, Trade, 194.500, 158, S06, B25, 1
B25, Trade, 203.133, 173, S20, B25, 1
B25, Trade, 228.700, 151, B25, S01, 1
B25, Trade, 260.517, 164, S17, B25, 1
B25, Trade, 267.650, 165, S11, B25, 1
B25, Trade, 294.500, 166, S06, B25, 1
B26, 28
B26, Trade, 8.733, 156, S03, B26, 1
B26, Trade, 26.967, 161, S15, B26, 1
B26, Trade, 49.367, 150, S00, B26, 1
B26, Trade, 52.150, 173, S01, B26, 1
B26, Trade, 58.000, 171, B26, S05, 1
B26, Trade, 63.117, 169, S04, B26, 1
B26, Trade, 68.133, 160, S15, B26, 1
B26, Trade, 71.383, 160, S12, B26, 1
B26, Trade, 99.533, 166, S12, B26, 1
B26, Trade, 143.733, 152, S12, B26, 1
B26, Trade, 145.983, 173, S10, B26, 1
B26, Trade, 157.267, 168, B26, S01, 1
B26, Trade, 162.483, 162, S00, B26, 1
B26, Trade, 169.617, 149, B26, S10, 1
B26, Trade, 182.917, 182, B26, S04, 1
B26, Trade, 192.450, 165, B26, S10, 1
B26, Trade, 196.450, 178, S11, B26, 1
B26, Trade, 203.267, 176, S19, B26, 1
B26, Trade, 219.383, 180, S12, B26, 1
B26, Trade, 240.417, 171, S14, B26, 1
B26, Trade, 253.317, 174, B26, S01, 1
B26, Trade, 257.367, 169, S06, B26, 1
B26, Trade, 263.867, 177, B26, S17, 1
B26, Trade, 266.517, 116, B26, S01, 1
B26, Trade, 271.633, 147, S05, B26, 1
B26, Trade, 277.750, 166, S01, B26, 1
B26, Trade, 284.217, 160, B26, S01, 1
B26, Trade, 287.750, 152, S12, B26, 1
B27, 27
B27, Trade, 7.717, 128, S01, B27, 1
B27, Trade, 16.817, 171, S01, B27, 1
B27, Trade, 32.567, 166, B27, S10, 1
B27, Trade, 37.883, 159, S10, B27, 1
B27, Trade, 50.200, 157, S15, B27, 1
B27, Trade, 51.100, 164, S18, B27, 1
B27, Trade, 61.933, 168, B27, S10, 1
B27, Trade, 66.583, 180, B27, S13, 1
B27, Trade, 74.183, 152, B27, S13, 1
B27, Trade, 79.083, 189, B27, S07, 1
B27, Trade, 110.467, 169, B27, S11, 1
B27, Trade, 114.050, 182, S12, B27, 1
B27, Trade, 126.483, 151, S01, B27, 1
B27, Trade, 138.333, 175, S02, B27, 1
B27, Trade, 146.300, 185, B27, S15, 1
B27, Trade, 159.717, 158, B27, S02, 1
B27, Trade, 172.450, 170, B27, S01, 1
B27, Trade, 178.250, 165, S18, B27, 1
B27, Trade, 184.650, 191, S17, B27, 1
B27, Trade, 192.417, 181, B27, S15, 1
B27, Trade, 208.133, 182, S10, B27, 1
B27, Trade, 235.983, 172, B27, S15, 1
B27, Trade, 247.583, 173, S11, B27, 1
B27, Trade, 254.667, 179, S12, B27, 1
B27, Trade, 257.867, 177, S07, B27, 1
B27, Trade, 262.167, 177, S00, B27, 1
B27, Trade, 296.550, 189, B27, S11, 1
B28, 53
B28, Trade, 5.767, 149, S04, B28, 1
B28, Trade, 19.333, 183, B28, S11, 1
B28, Trade, 20.367, 191, B28, S03, 1
B28, Trade, 27.933, 154, B28, S10, 1
B28, Trade, 40.867, 180, B28, S08, 1
B28, Trade, 48.883, 144, S13, B28, 1
B28, Trade, 51.200, 159, B28, S10, 1
B28, Trade, 55.650, 184, B28, S11, 1
B28, Trade, 62.067, 178, S09, B28, 1
B28, Trade, 66.017, 187, B28, S10, 1
B28, Trade, 71.150, 156, S15, B28, 1
B28, Trade, 76.133, 182, S00, B28, 1
B28, Trade, 84.383, 165, S02, B28, 1
B28, Trade, 86.467, 192, S04, B28, 1
B28, Trade, 91.383, 183, B28, S01, 1
B28, Trade, 96.067, 194, B28, S11, 1
B28, Trade, 100.817, 194, B28, S11, 1
B28, Trade, 106.383, 131, S09, B28, 1
B28, Trade, 114.000, 168, B28, S10, 1
B28, Trade, 116.483, 160, S17, B28, 1
B28, Trade, 127.200, 187, B28, S17, 1
B28, Trade, 131.083, 161, S06, B28, 1
B28, Trade, 136.150, 183, S11, B28, 1
B28, Trade, 143.567, 135, S10, B28, 1
B28, Trade, 146.467, 168, B28, S02, 1
B28, Trade, 151.733, 159, S06, B28, 1
B28, Trade, 155.950, 171, B28, S17, 1
B28, Trade, 163.583, 161, B28, S11, 1
B28, Trade, 166.333, 138, B28, S01, 1
B28, Trade, 174.050, 185, B28, S05, 1
B28, Trade, 177.583, 156, S07, B28, 1
B28, Trade, 181.033, 134, B28, S01, 1
B28, Trade, 189.717, 165, B28, S05, 1
B28, Trade, 191.667, 188, B28, S01, 1
B28, Trade, 200.500, 178, S01, B28, 1
B28, Trade, 202.967, 158, B28, S02, 1
B28, Trade, 207.200, 159, B28, S09, 1
B28, Trade, 212.350, 185, B28, S01, 1
B28, Trade, 216.667, 166, B28, S05, 1
B28, Trade, 222.200, 124, S01, B28, 1
B28, Trade, 229.783, 164, S17, B28, 1
B28, Trade, 236.700, 174, S02, B28, 1
B28, Trade, 241.267, 193, B28, S01, 1
B28, Trade, 246.850, 182, B28, S01, 1
B28, Trade, 256.900, 162, S10, B28, 1
B28, Trade, 263.967, 185, S01, B28, 1
B28, Trade, 268.483, 153, S10, B28, 1
B28, Trade, 271.717, 174, S17, B28, 1
B28, Trade, 276.633, 160, B28, S05, 1
B28, Trade, 286.283, 184, S18, B28, 1
B28, Trade, 289.767, 188, B28, S03, 1
B28, Trade, 292.083, 141, B28, S05, 1
B28, Trade, 297.217, 186, B28, S03, 1
B29, 57
B29, Trade, 6.033, 152, S12, B29, 1
B29, Trade, 10.450, 172, S11, B29, 1
B29, Trade, 17.067, 179, S15, B29, 1
B29, Trade, 21.250, 184, B29, S10, 1
B29, Trade, 25.800, 197, B29, S13, 1
B29, Trade, 30.500, 152, S06, B29, 1
B29, Trade, 41.400, 193, S07, B29, 1
B29, Trade, 47.117, 176, B29, S05, 1
B29, Trade, 50.700, 140, S11, B29, 1
B29, Trade, 57.083, 189, B29, S14, 1
B29, Trade, 61.450, 178, S02, B29, 1
B29, Trade, 67.600, 178, S21, B29, 1
B29, Trade, 71.600, 168, B29, S03, 1
B29, Trade, 75.800, 133, S05, B29, 1
B29, Trade, 80.783, 195, B29, S01, 1
B29, Trade, 88.017, 179, S12, B29, 1
B29, Trade, 91.183, 178, B29, S02, 1
B29, Trade, 95.733, 181, S20, B29, 1
B29, Trade, 102.183, 172, B29, S10, 1
B29, Trade, 107.250, 169, S15, B29, 1
B29, Trade, 111.933, 179, B29, S11, 1
B29, Trade, 118.083, 152, S14, B29, 1
