,trade,best_bid,best_offer,trader_name0,total_profit0,traders_number0,avg_profit0,trader_name1,total_profit1,traders_number1,avg_profit1,trader_name2,total_profit2,traders_number2,avg_profit2,trader_name3,total_profit3,traders_number3,avg_profit3,trader_name4,total_profit4,traders_number4,avg_profit4,trader_name5,total_profit5,traders_number5,avg_profit5,run_n,k,F
128,300.0,174.0,188.0, GVWY,4673.0,10.0,467.3, PRDE,2412.0,10.1,241.2, SHVR,6014.0,10.2,601.4, SNPR,1885.0,10.3,188.5, ZIC,2181.0,10.4,218.1, ZIP,8749.0,10.5,874.9,0,4,0.0
289,300.0,172.0,191.0, GVWY,11412.0,10.0,1141.2, PRDE,379.0,10.1,37.9, SHVR,7728.0,10.2,772.8, SNPR,1969.0,10.3,196.9, ZIC,2050.0,10.4,205.0, ZIP,2867.0,10.5,286.7,0,4,0.2
312,300.0,182.0,198.0, GVWY,9299.0,10.0,929.9, PRDE,7046.0,10.1,704.6, SHVR,4298.0,10.2,429.8, SNPR,1266.0,10.3,126.6, ZIC,2365.0,10.4,236.5, ZIP,4047.0,10.5,404.7,0,4,0.4
278,300.0,174.0,181.0, GVWY,6547.0,10.0,654.7, PRDE,715.0,10.1,71.5, SHVR,9690.0,10.2,969.0, SNPR,1789.0,10.3,178.9, ZIC,1822.0,10.4,182.2, ZIP,5720.0,10.5,572.0,0,4,0.6
475,300.0,172.0,177.0, GVWY,6953.0,10.0,695.3, PRDE,3519.0,10.1,351.9, SHVR,5725.0,10.2,572.5, SNPR,2418.0,10.3,241.8, ZIC,3366.0,10.4,336.6, ZIP,5083.0,10.5,508.3,0,4,0.8
571,300.0,183.0,187.0, GVWY,5292.0,10.0,529.2, PRDE,5597.0,10.1,559.7, SHVR,8107.0,10.2,810.7, SNPR,419.0,10.3,41.9, ZIC,4975.0,10.4,497.5, ZIP,6294.0,10.5,629.4,0,4,1.1
846,300.0,180.0,184.0, GVWY,4770.0,10.0,477.0, PRDE,2687.0,10.1,268.7, SHVR,7426.0,10.2,742.6, SNPR,2210.0,10.3,221.0, ZIC,1625.0,10.4,162.5, ZIP,6055.0,10.5,605.5,0,4,1.3
178,300.0,157.0,160.0, GVWY,9390.0,10.0,939.0, PRDE,3958.0,10.1,395.8, SHVR,4719.0,10.2,471.9, SNPR,787.0,10.3,78.7, ZIC,3127.0,10.4,312.7, ZIP,8536.0,10.5,853.6,0,4,1.5
258,300.0,171.0,182.0, GVWY,6807.0,10.0,680.7, PRDE,3853.0,10.1,385.3, SHVR,6546.0,10.2,654.6, SNPR,1271.0,10.3,127.1, ZIC,2257.0,10.4,225.7, ZIP,6100.0,10.5,610.0,0,4,1.7
813,300.0,173.0,209.0, GVWY,4570.0,10.0,457.0, PRDE,2281.0,10.1,228.1, SHVR,7397.0,10.2,739.7, SNPR,1893.0,10.3,189.3, ZIC,5549.0,10.4,554.9, ZIP,5017.0,10.5,501.7,0,4,2.0
697,300.0,181.0,183.0, GVWY,7425.0,10.0,742.5, PRDE,4036.0,10.1,403.6, SHVR,11496.0,10.2,1149.6, SNPR,574.0,10.3,57.4, ZIC,3187.0,10.4,318.7, ZIP,3308.0,10.5,330.8,0,8,0.0
327,300.0,172.0,181.0, GVWY,5033.0,10.0,503.3, PRDE,2941.0,10.1,294.1, SHVR,6344.0,10.2,634.4, SNPR,2092.0,10.3,209.2, ZIC,1739.0,10.4,173.9, ZIP,8867.0,10.5,886.7,0,8,0.2
191,300.0,172.0,184.0, GVWY,3983.0,10.0,398.3, PRDE,3864.0,10.1,386.4, SHVR,7621.0,10.2,762.1, SNPR,1300.0,10.3,130.0, ZIC,3803.0,10.4,380.3, ZIP,7831.0,10.5,783.1,0,8,0.4
426,300.0,167.0,192.0, GVWY,4426.0,10.0,442.6, PRDE,2500.0,10.1,250.0, SHVR,8816.0,10.2,881.6, SNPR,1812.0,10.3,181.2, ZIC,3356.0,10.4,335.6, ZIP,3504.0,10.5,350.4,0,8,0.6
417,300.0,169.0,181.0, GVWY,2996.0,10.0,299.6, PRDE,1207.0,10.1,120.7, SHVR,7997.0,10.2,799.7, SNPR,1461.0,10.3,146.1, ZIC,4927.0,10.4,492.7, ZIP,6502.0,10.5,650.2,0,8,0.8
183,300.0,173.0,178.0, GVWY,6094.0,10.0,609.4, PRDE,2189.0,10.1,218.9, SHVR,10603.0,10.2,1060.3, SNPR,1224.0,10.3,122.4, ZIC,4070.0,10.4,407.0, ZIP,4664.0,10.5,466.4,0,8,1.1
585,300.0,178.0,184.0, GVWY,6489.0,10.0,648.9, PRDE,1928.0,10.1,192.8, SHVR,4752.0,10.2,475.2, SNPR,949.0,10.3,94.9, ZIC,4887.0,10.4,488.7, ZIP,6759.0,10.5,675.9,0,8,1.3
381,300.0,172.0,178.0, GVWY,7328.0,10.0,732.8, PRDE,3569.0,10.1,356.9, SHVR,5008.0,10.2,500.8, SNPR,1295.0,10.3,129.5, ZIC,2818.0,10.4,281.8, ZIP,7988.0,10.5,798.8,0,8,1.5
284,300.0,173.0,185.0, GVWY,9428.0,10.0,942.8, PRDE,1594.0,10.1,159.4, SHVR,3839.0,10.2,383.9, SNPR,2471.0,10.3,247.1, ZIC,4968.0,10.4,496.8, ZIP,2595.0,10.5,259.5,0,8,1.7
416,300.0,171.0,181.0, GVWY,7484.0,10.0,748.4, PRDE,4671.0,10.1,467.1, SHVR,3556.0,10.2,355.6, SNPR,1994.0,10.3,199.4, ZIC,1782.0,10.4,178.2, ZIP,8167.0,10.5,816.7,0,8,2.0
320,300.0,171.0,175.0, GVWY,6940.0,10.0,694.0, PRDE,727.0,10.1,72.7, SHVR,6864.0,10.2,686.4, SNPR,1627.0,10.3,162.7, ZIC,3114.0,10.4,311.4, ZIP,5265.0,10.5,526.5,0,16,0.0
114,300.0,173.0,188.0, GVWY,6802.0,10.0,680.2, PRDE,5764.0,10.1,576.4, SHVR,8541.0,10.2,854.1, SNPR,659.0,10.3,65.9, ZIC,5483.0,10.4,548.3, ZIP,2334.0,10.5,233.4,0,16,0.2
18,300.0,157.0,192.0, GVWY,4237.0,10.0,423.7, PRDE,3266.0,10.1,326.6, SHVR,7285.0,10.2,728.5, SNPR,1981.0,10.3,198.1, ZIC,3063.0,10.4,306.3, ZIP,6145.0,10.5,614.5,0,16,0.4
795,300.0,181.0,187.0, GVWY,7578.0,10.0,757.8, PRDE,2863.0,10.1,286.3, SHVR,7858.0,10.2,785.8, SNPR,694.0,10.3,69.4, ZIC,6782.0,10.4,678.2, ZIP,4665.0,10.5,466.5,0,16,0.6
612,300.0,171.0,180.0, GVWY,4368.0,10.0,436.8, PRDE,4720.0,10.1,472.0, SHVR,7416.0,10.2,741.6, SNPR,886.0,10.3,88.6, ZIC,1276.0,10.4,127.6, ZIP,6514.0,10.5,651.4,0,16,0.8
602,300.0,182.0,206.0, GVWY,14657.0,10.0,1465.7, PRDE,4914.0,10.1,491.4, SHVR,8827.0,10.2,882.7, SNPR,962.0,10.3,96.2, ZIC,1017.0,10.4,101.7, ZIP,2629.0,10.5,262.9,0,16,1.1
344,300.0,180.0,194.0, GVWY,8941.0,10.0,894.1, PRDE,2760.0,10.1,276.0, SHVR,2363.0,10.2,236.3, SNPR,1875.0,10.3,187.5, ZIC,1509.0,10.4,150.9, ZIP,9918.0,10.5,991.8,0,16,1.3
32,300.0,180.0,195.0, GVWY,3508.0,10.0,350.8, PRDE,6912.0,10.1,691.2, SHVR,6252.0,10.2,625.2, SNPR,1088.0,10.3,108.8, ZIC,3426.0,10.4,342.6, ZIP,4720.0,10.5,472.0,0,16,1.5
698,300.0,161.0,174.0, GVWY,5361.0,10.0,536.1, PRDE,1528.0,10.1,152.8, SHVR,5828.0,10.2,582.8, SNPR,1980.0,10.3,198.0, ZIC,3140.0,10.4,314.0, ZIP,7017.0,10.5,701.7,0,16,1.7
497,300.0,177.0,186.0, GVWY,6302.0,10.0,630.2, PRDE,4072.0,10.1,407.2, SHVR,8232.0,10.2,823.2, SNPR,679.0,10.3,67.9, ZIC,4176.0,10.4,417.6, ZIP,4312.0,10.5,431.2,0,16,2.0
481,300.0,178.0,190.0, GVWY,4315.0,10.0,431.5, PRDE,5343.0,10.1,534.3, SHVR,9145.0,10.2,914.5, SNPR,651.0,10.3,65.1, ZIC,3925.0,10.4,392.5, ZIP,2902.0,10.5,290.2,0,32,0.0
741,300.0,177.0,185.0, GVWY,5511.0,10.0,551.1, PRDE,4778.0,10.1,477.8, SHVR,6058.0,10.2,605.8, SNPR,1347.0,10.3,134.7, ZIC,994.0,10.4,99.4, ZIP,9032.0,10.5,903.2,0,32,0.2
473,300.0,179.0,191.0, GVWY,8033.0,10.0,803.3, PRDE,3246.0,10.1,324.6, SHVR,6162.0,10.2,616.2, SNPR,1377.0,10.3,137.7, ZIC,3846.0,10.4,384.6, ZIP,5554.0,10.5,555.4,0,32,0.4
541,300.0,173.0,193.0, GVWY,12176.0,10.0,1217.6, PRDE,3505.0,10.1,350.5, SHVR,7762.0,10.2,776.2, SNPR,1129.0,10.3,112.9, ZIC,2509.0,10.4,250.9, ZIP,4996.0,10.5,499.6,0,32,0.6
399,300.0,186.0,188.0, GVWY,7182.0,10.0,718.2, PRDE,1322.0,10.1,132.2, SHVR,8654.0,10.2,865.4, SNPR,1186.0,10.3,118.6, ZIC,4338.0,10.4,433.8, ZIP,2708.0,10.5,270.8,0,32,0.8
282,300.0,181.0,185.0, GVWY,4779.0,10.0,477.9, PRDE,4528.0,10.1,452.8, SHVR,9737.0,10.2,973.7, SNPR,1422.0,10.3,142.2, ZIC,1030.0,10.4,103.0, ZIP,3531.0,10.5,353.1,0,32,1.1
535,300.0,174.0,201.0, GVWY,7646.0,10.0,764.6, PRDE,5009.0,10.1,500.9, SHVR,3867.0,10.2,386.7, SNPR,1834.0,10.3,183.4, ZIC,3013.0,10.4,301.3, ZIP,6136.0,10.5,613.6,0,32,1.3
563,300.0,180.0,181.0, GVWY,3315.0,10.0,331.5, PRDE,5430.0,10.1,543.0, SHVR,3065.0,10.2,306.5, SNPR,2238.0,10.3,223.8, ZIC,2804.0,10.4,280.4, ZIP,8577.0,10.5,857.7,0,32,1.5
95,300.0,182.0,187.0, GVWY,4270.0,10.0,427.0, PRDE,5451.0,10.1,545.1, SHVR,6942.0,10.2,694.2, SNPR,725.0,10.3,72.5, ZIC,4500.0,10.4,450.0, ZIP,5210.0,10.5,521.0,0,32,1.7
410,300.0,167.0,189.0, GVWY,8100.0,10.0,810.0, PRDE,4125.0,10.1,412.5, SHVR,7025.0,10.2,702.5, SNPR,781.0,10.3,78.1, ZIC,3874.0,10.4,387.4, ZIP,3429.0,10.5,342.9,0,32,2.0
