,k,F,avg_profit
0,4,0.0,408.84999999999997
1,4,0.2,336.31000000000006
2,4,0.4,242.84
3,4,0.6,237.18
4,4,0.8,364.05
5,4,1.1,359.14
6,4,1.3,306.13
7,4,1.5,326.05
8,4,1.7,357.07
9,4,2.0,317.38
10,8,0.0,394.67999999999995
11,8,0.2,330.93999999999994
12,8,0.4,321.65999999999997
13,8,0.6,428.41
14,8,0.8,319.65
15,8,1.1,334.94
16,8,1.3,179.00000000000003
17,8,1.5,478.89
18,8,1.7,386.21
19,8,2.0,345.95
20,16,0.0,357.67999999999995
21,16,0.2,279.44
22,16,0.4,389.62
23,16,0.6,278.15999999999997
24,16,0.8,342.48
25,16,1.1,320.9599999999999
26,16,1.3,363.53999999999996
27,16,1.5,341.36999999999995
28,16,1.7,291.94
29,16,2.0,417.78999999999996
30,32,0.0,318.83
31,32,0.2,356.26000000000005
32,32,0.4,406.54
33,32,0.6,320.76
34,32,0.8,358.9100000000001
35,32,1.1,301.63
36,32,1.3,273.19999999999993
37,32,1.5,357.87999999999994
38,32,1.7,367.2
39,32,2.0,266.42999999999995
40,64,0.0,298.1400000000001
41,64,0.2,258.2
42,64,0.4,198.55
43,64,0.6,392.13
44,64,0.8,333.23
45,64,1.1,284.42
46,64,1.3,426.1
47,64,1.5,246.45999999999995
48,64,1.7,360.66999999999996
49,64,2.0,311.49999999999994
50,128,0.0,316.72
51,128,0.2,265.11
52,128,0.4,335.08
53,128,0.6,305.84000000000003
54,128,0.8,268.87
55,128,1.1,322.87
56,128,1.3,241.34
57,128,1.5,325.37
58,128,1.7,295.01
59,128,2.0,321.15000000000003
60,256,0.0,536.77
61,256,0.2,304.52000000000004
62,256,0.4,389.58000000000004
63,256,0.6,411.58000000000004
64,256,0.8,340.68
65,256,1.1,418.35
66,256,1.3,223.17000000000002
67,256,1.5,170.99999999999997
68,256,1.7,320.93
69,256,2.0,328.6600000000001
70,512,0.0,394.37
71,512,0.2,354.76
72,512,0.4,277.88
73,512,0.6,409.14
74,512,0.8,342.54
75,512,1.1,274.77
76,512,1.3,400.75
77,512,1.5,369.59000000000003
78,512,1.7,264.38
79,512,2.0,348.9800000000001
80,1024,0.0,347.64
81,1024,0.2,383.41999999999996
82,1024,0.4,397.79
83,1024,0.6,427.4799999999999
84,1024,0.8,276.95
85,1024,1.1,245.09
86,1024,1.3,269.20000000000005
87,1024,1.5,433.36
88,1024,1.7,316.44000000000005
89,1024,2.0,291.84000000000003
