,k,F,avg_profit
0,4,0.0,261.63
1,4,0.2,444.56000000000006
2,4,0.4,374.24000000000007
3,4,0.6,274.81
4,4,0.8,323.16999999999996
5,4,1.1,347.7999999999999
6,4,1.3,268.46999999999997
7,4,1.5,547.33
8,4,1.7,410.19000000000005
9,4,2.0,431.25
10,8,0.0,437.1
11,8,0.2,376.6
12,8,0.4,350.43
13,8,0.6,294.9
14,8,0.8,225.88000000000002
15,8,1.1,286.65
16,8,1.3,336.79
17,8,1.5,346.69999999999993
18,8,1.7,214.52000000000004
19,8,2.0,335.05000000000007
20,16,0.0,433.02
21,16,0.2,238.97999999999996
22,16,0.4,383.07000000000005
23,16,0.6,262.15999999999997
24,16,0.8,240.26
25,16,1.1,230.6
26,16,1.3,284.21000000000004
27,16,1.5,319.4
28,16,1.7,359.7700000000001
29,16,2.0,334.52000000000004
30,32,0.0,341.14
31,32,0.2,339.44999999999993
32,32,0.4,310.93
33,32,0.6,364.64
34,32,0.8,321.03
35,32,1.1,351.19
36,32,1.3,282.9
37,32,1.5,409.9200000000001
38,32,1.7,283.87
39,32,2.0,441.02
40,64,0.0,356.63
41,64,0.2,327.45000000000005
42,64,0.4,420.55
43,64,0.6,312.81000000000006
44,64,0.8,186.89
45,64,1.1,275.49
46,64,1.3,337.36000000000007
47,64,1.5,486.10999999999996
48,64,1.7,370.02
49,64,2.0,283.93
50,128,0.0,358.2
51,128,0.2,225.52000000000004
52,128,0.4,320.26000000000005
53,128,0.6,410.4
54,128,0.8,474.0200000000001
55,128,1.1,337.26000000000005
56,128,1.3,285.89
57,128,1.5,464.81000000000006
58,128,1.7,239.47000000000003
59,128,2.0,270.36
60,256,0.0,247.69
61,256,0.2,332.97999999999996
62,256,0.4,231.74
63,256,0.6,329.91999999999996
64,256,0.8,409.7099999999999
65,256,1.1,376.77
66,256,1.3,261.29
67,256,1.5,458.39000000000004
68,256,1.7,262.88
69,256,2.0,314.6
70,512,0.0,326.18
71,512,0.2,245.05
72,512,0.4,286.27000000000004
73,512,0.6,338.42
74,512,0.8,352.53
75,512,1.1,267.03000000000003
76,512,1.3,298.96999999999997
77,512,1.5,199.37
78,512,1.7,357.03000000000003
79,512,2.0,357.03000000000003
80,1024,0.0,255.91
81,1024,0.2,332.73
82,1024,0.4,206.63000000000002
83,1024,0.6,385.0400000000001
84,1024,0.8,395.43
85,1024,1.1,363.89
86,1024,1.3,312.0
87,1024,1.5,365.56
88,1024,1.7,265.85
89,1024,2.0,425.2900000000001
